,var.features,ID
KAZN-AS1,NA,ENSG00000234593
TMEM51-AS1,NA,ENSG00000175147
TMEM51,NA,ENSG00000171729
FHAD1,FHAD1,ENSG00000142621
FHAD1-AS1,NA,ENSG00000233485
EFHD2,NA,ENSG00000142634
CASP9,NA,ENSG00000132906
DNAJC16,NA,ENSG00000116138
AGMAT,NA,ENSG00000116771
DDI2,NA,ENSG00000197312
PLEKHM2,NA,ENSG00000116786
SLC25A34,NA,ENSG00000162461
FBLIM1,NA,ENSG00000162458
UQCRHL,NA,ENSG00000233954
SPEN-AS1,NA,ENSG00000179743
SPEN,NA,ENSG00000065526
ZBTB17,NA,ENSG00000116809
SRARP,NA,ENSG00000183888
FAM131C,NA,ENSG00000185519
EPHA2,NA,ENSG00000142627
ARHGEF19,NA,ENSG00000142632
FBXO42,NA,ENSG00000037637
SZRD1,NA,ENSG00000055070
SPATA21,NA,ENSG00000187144
NECAP2,NA,ENSG00000157191
LINC01772,NA,ENSG00000226029
CROCCP3,NA,ENSG00000290842
NBPF1,NA,ENSG00000219481
CROCCP2,NA,ENSG00000291072
CROCC,NA,ENSG00000058453
ENSG00000226526,NA,ENSG00000226526
ATP13A2,NA,ENSG00000159363
SDHB,NA,ENSG00000117118
PADI2,NA,ENSG00000117115
RCC2,NA,ENSG00000179051
ARHGEF10L,NA,ENSG00000074964
IGSF21,IGSF21,ENSG00000117154
PAX7,NA,ENSG00000009709
ALDH4A1,NA,ENSG00000159423
IFFO2,NA,ENSG00000169991
UBR4,NA,ENSG00000127481
EMC1-AS1,NA,ENSG00000230424
EMC1,NA,ENSG00000127463
MRTO4,NA,ENSG00000053372
AKR7L,NA,ENSG00000211454
AKR7A3,NA,ENSG00000162482
AKR7A2,NA,ENSG00000053371
SLC66A1,NA,ENSG00000040487
CAPZB,NA,ENSG00000077549
MICOS10,NA,ENSG00000173436
NBL1,NA,ENSG00000158747
TMCO4,NA,ENSG00000162542
OTUD3,NA,ENSG00000169914
PLA2G5,NA,ENSG00000127472
ENSG00000227066,NA,ENSG00000227066
PLA2G2C,NA,ENSG00000187980
UBXN10,NA,ENSG00000162543
VWA5B1,VWA5B1,ENSG00000158816
LINC01141,NA,ENSG00000236963
CAMK2N1,NA,ENSG00000162545
MUL1,NA,ENSG00000090432
CDA,NA,ENSG00000158825
PINK1,NA,ENSG00000158828
PINK1-AS,NA,ENSG00000117242
DDOST,NA,ENSG00000244038
KIF17,NA,ENSG00000117245
HP1BP3,NA,ENSG00000127483
EIF4G3,NA,ENSG00000075151
ENSG00000287192,NA,ENSG00000287192
ECE1,NA,ENSG00000117298
NBPF3,NA,ENSG00000142794
ALPL,ALPL,ENSG00000162551
RAP1GAP,NA,ENSG00000076864
USP48,NA,ENSG00000090686
HSPG2,NA,ENSG00000142798
LINC00339,NA,ENSG00000218510
CDC42,NA,ENSG00000070831
WNT4,NA,ENSG00000162552
ZBTB40,NA,ENSG00000184677
EPHA8,NA,ENSG00000070886
C1QA,NA,ENSG00000173372
C1QC,NA,ENSG00000159189
C1QB,NA,ENSG00000173369
EPHB2,NA,ENSG00000133216
KDM1A,NA,ENSG00000004487
ENSG00000240553,NA,ENSG00000240553
LUZP1,NA,ENSG00000169641
HTR1D,NA,ENSG00000179546
LINC01355,NA,ENSG00000261326
ENSG00000284726,NA,ENSG00000284726
HNRNPR,NA,ENSG00000125944
ZNF436,NA,ENSG00000125945
TCEA3,NA,ENSG00000204219
ASAP3,NA,ENSG00000088280
ID3,NA,ENSG00000117318
MDS2,NA,ENSG00000197880
RPL11,RPL11,ENSG00000142676
ELOA-AS1,NA,ENSG00000236810
ELOA,NA,ENSG00000011007
PITHD1,NA,ENSG00000057757
LYPLA2,NA,ENSG00000011009
GALE,NA,ENSG00000117308
HMGCL,NA,ENSG00000117305
FUCA1,NA,ENSG00000179163
CNR2,NA,ENSG00000188822
PNRC2,NA,ENSG00000189266
SRSF10,NA,ENSG00000188529
IFNLR1,NA,ENSG00000185436
GRHL3-AS1,NA,ENSG00000232298
STPG1,NA,ENSG00000001460
NIPAL3,NA,ENSG00000001461
RCAN3,NA,ENSG00000117602
NCMAP,NA,ENSG00000184454
SRRM1,NA,ENSG00000133226
CLIC4,NA,ENSG00000169504
RUNX3,NA,ENSG00000020633
SYF2,NA,ENSG00000117614
ENSG00000284602,NA,ENSG00000284602
ENSG00000284657,NA,ENSG00000284657
RSRP1,NA,ENSG00000117616
RHD,NA,ENSG00000187010
TMEM50A,NA,ENSG00000183726
RHCE,NA,ENSG00000188672
MACO1,NA,ENSG00000204178
LDLRAP1,NA,ENSG00000157978
ENSG00000225643,NA,ENSG00000225643
MAN1C1,NA,ENSG00000117643
SELENON,NA,ENSG00000162430
MTFR1L,NA,ENSG00000117640
AUNIP,NA,ENSG00000127423
PAQR7,NA,ENSG00000182749
STMN1,NA,ENSG00000117632
PAFAH2,NA,ENSG00000158006
EXTL1,NA,ENSG00000158008
PDIK1L,NA,ENSG00000175087
FAM110D,NA,ENSG00000197245
ZNF593,NA,ENSG00000142684
CNKSR1,NA,ENSG00000142675
CEP85,NA,ENSG00000130695
SH3BGRL3,NA,ENSG00000142669
UBXN11,NA,ENSG00000158062
LIN28A,NA,ENSG00000131914
DHDDS,NA,ENSG00000117682
DHDDS-AS1,NA,ENSG00000225891
HMGN2,NA,ENSG00000198830
RPS6KA1,NA,ENSG00000117676
ARID1A,NA,ENSG00000117713
PIGV,NA,ENSG00000060642
ZDHHC18,NA,ENSG00000204160
GPN2,NA,ENSG00000142751
GPATCH3,NA,ENSG00000198746
NUDC,NA,ENSG00000090273
TRNP1,NA,ENSG00000253368
SLC9A1,NA,ENSG00000090020
WDTC1-DT,NA,ENSG00000224311
WDTC1,NA,ENSG00000142784
TMEM222,NA,ENSG00000186501
MAP3K6,NA,ENSG00000142733
WASF2,NA,ENSG00000158195
AHDC1,NA,ENSG00000126705
FGR,NA,ENSG00000000938
IFI6,NA,ENSG00000126709
FAM76A,NA,ENSG00000009780
STX12,NA,ENSG00000117758
PPP1R8,NA,ENSG00000117751
THEMIS2,NA,ENSG00000130775
RPA2,NA,ENSG00000117748
SMPDL3B,NA,ENSG00000130768
XKR8,NA,ENSG00000158156
EYA3,NA,ENSG00000158161
ENSG00000289576,NA,ENSG00000289576
PTAFR,NA,ENSG00000169403
DNAJC8,NA,ENSG00000126698
ENSG00000290123,NA,ENSG00000290123
ATP5IF1,NA,ENSG00000130770
SESN2,NA,ENSG00000130766
MED18,NA,ENSG00000130772
PHACTR4,NA,ENSG00000204138
RCC1,NA,ENSG00000180198
SNHG3,NA,ENSG00000242125
TRNAU1AP,NA,ENSG00000180098
SNHG12,NA,ENSG00000197989
TAF12,NA,ENSG00000120656
TAF12-DT,NA,ENSG00000229388
GMEB1,NA,ENSG00000162419
YTHDF2,NA,ENSG00000198492
OPRD1,NA,ENSG00000116329
ENSG00000233427,NA,ENSG00000233427
EPB41,NA,ENSG00000159023
TMEM200B,NA,ENSG00000253304
SRSF4,NA,ENSG00000116350
MECR,NA,ENSG00000116353
PTPRU,NA,ENSG00000060656
MATN1,NA,ENSG00000162510
LAPTM5,NA,ENSG00000162511
SDC3,NA,ENSG00000162512
PUM1,NA,ENSG00000134644
NKAIN1,NA,ENSG00000084628
SNRNP40,NA,ENSG00000060688
ZCCHC17,NA,ENSG00000121766
FABP3,NA,ENSG00000121769
SERINC2,NA,ENSG00000168528
LINC01226,NA,ENSG00000284543
TINAGL1,NA,ENSG00000142910
HCRTR1,NA,ENSG00000121764
PEF1,NA,ENSG00000162517
COL16A1,NA,ENSG00000084636
ADGRB2,NA,ENSG00000121753
ENSG00000269967,NA,ENSG00000269967
PTP4A2,NA,ENSG00000184007
ENSG00000284702,NA,ENSG00000284702
KHDRBS1,NA,ENSG00000121774
ENSG00000203325,NA,ENSG00000203325
TMEM39B,NA,ENSG00000121775
KPNA6,NA,ENSG00000025800
TXLNA,NA,ENSG00000084652
CCDC28B,NA,ENSG00000160050
IQCC,NA,ENSG00000160051
TMEM234,NA,ENSG00000160055
EIF3I,NA,ENSG00000084623
ENSG00000291132,NA,ENSG00000291132
LCK,NA,ENSG00000182866
HDAC1,NA,ENSG00000116478
MARCKSL1,NA,ENSG00000175130
TSSK3,NA,ENSG00000162526
FAM229A,NA,ENSG00000225828
BSDC1,NA,ENSG00000160058
ZBTB8B,NA,ENSG00000273274
ZBTB8A,NA,ENSG00000160062
ZBTB8OS,NA,ENSG00000176261
RBBP4,NA,ENSG00000162521
SYNC,NA,ENSG00000162520
KIAA1522,NA,ENSG00000162522
YARS1,NA,ENSG00000134684
S100PBP,NA,ENSG00000116497
FNDC5,NA,ENSG00000160097
HPCA,NA,ENSG00000121905
RNF19B,NA,ENSG00000116514
ENSG00000236065,NA,ENSG00000236065
AK2,NA,ENSG00000004455
AZIN2,NA,ENSG00000142920
TRIM62,NA,ENSG00000116525
ENSG00000284721,NA,ENSG00000284721
ZNF362,NA,ENSG00000160094
A3GALT2,NA,ENSG00000184389
ENSG00000225313,NA,ENSG00000225313
PHC2,NA,ENSG00000134686
ZSCAN20,NA,ENSG00000121903
CSMD2,NA,ENSG00000121904
ENSG00000287703,NA,ENSG00000287703
SMIM12,NA,ENSG00000163866
DLGAP3,NA,ENSG00000116544
TMEM35B,NA,ENSG00000243749
ZMYM6,NA,ENSG00000163867
ZMYM1,NA,ENSG00000197056
SFPQ,NA,ENSG00000116560
ZMYM4,NA,ENSG00000146463
KIAA0319L,NA,ENSG00000142687
NCDN,NA,ENSG00000020129
TFAP2E-AS1,NA,ENSG00000239636
TFAP2E,NA,ENSG00000116819
PSMB2,NA,ENSG00000126067
C1orf216,NA,ENSG00000142686
CLSPN,NA,ENSG00000092853
AGO4,NA,ENSG00000134698
AGO1,NA,ENSG00000092847
AGO3,NA,ENSG00000126070
ENSG00000271554,NA,ENSG00000271554
TEKT2,NA,ENSG00000092850
ADPRS,NA,ENSG00000116863
COL8A2,NA,ENSG00000171812
TRAPPC3,NA,ENSG00000054116
MAP7D1,NA,ENSG00000116871
THRAP3,NA,ENSG00000054118
SH3D21,NA,ENSG00000214193
EVA1B,NA,ENSG00000142694
STK40,NA,ENSG00000196182
OSCP1,NA,ENSG00000116885
MRPS15,NA,ENSG00000116898
CSF3R,NA,ENSG00000119535
GRIK3,NA,ENSG00000163873
ENSG00000223944,NA,ENSG00000223944
ZC3H12A-DT,NA,ENSG00000233621
ZC3H12A,NA,ENSG00000163874
MEAF6,NA,ENSG00000163875
SNIP1,NA,ENSG00000163877
DNALI1,NA,ENSG00000163879
GNL2,NA,ENSG00000134697
C1orf109,NA,ENSG00000116922
CDCA8,NA,ENSG00000134690
EPHA10,NA,ENSG00000183317
MANEAL,NA,ENSG00000185090
C1orf122,NA,ENSG00000197982
MTF1,NA,ENSG00000188786
INPP5B,NA,ENSG00000204084
SF3A3,NA,ENSG00000183431
FHL3,NA,ENSG00000183386
UTP11,NA,ENSG00000183520
POU3F1,NA,ENSG00000185668
MIR3659HG,NA,ENSG00000224592
ENSG00000287987,NA,ENSG00000287987
RRAGC,NA,ENSG00000116954
RRAGC-DT,NA,ENSG00000228436
MYCBP,NA,ENSG00000214114
RHBDL2,NA,ENSG00000158315
AKIRIN1,NA,ENSG00000174574
NDUFS5,NA,ENSG00000168653
MACF1,NA,ENSG00000127603
ENSG00000226438,NA,ENSG00000226438
BMP8A,NA,ENSG00000183682
PPIEL,NA,ENSG00000291129
PABPC4,NA,ENSG00000090621
HEYL,NA,ENSG00000163909
NT5C1A,NA,ENSG00000116981
HPCAL4,NA,ENSG00000116983
PPIE,NA,ENSG00000084072
BMP8B,NA,ENSG00000116985
OXCT2,NA,ENSG00000198754
LINC02811,NA,ENSG00000284678
TRIT1,NA,ENSG00000043514
MYCL,NA,ENSG00000116990
MFSD2A,NA,ENSG00000168389
CAP1,NA,ENSG00000131236
PPT1,NA,ENSG00000131238
RLF,NA,ENSG00000117000
ZMPSTE24-DT,NA,ENSG00000259943
ZMPSTE24,NA,ENSG00000084073
COL9A2,NA,ENSG00000049089
SMAP2,NA,ENSG00000084070
ZFP69B,NA,ENSG00000187801
ENSG00000260920,NA,ENSG00000260920
ZFP69,NA,ENSG00000187815
EXO5-DT,NA,ENSG00000238287
EXO5,NA,ENSG00000164002
ZNF684,NA,ENSG00000117010
RIMS3,NA,ENSG00000117016
NFYC-AS1,NA,ENSG00000272145
NFYC,NA,ENSG00000066136
KCNQ4,NA,ENSG00000117013
CTPS1,NA,ENSG00000171793
SLFNL1-AS1,NA,ENSG00000281207
SCMH1,NA,ENSG00000010803
FOXO6,NA,ENSG00000204060
HIVEP3,NA,ENSG00000127124
FOXJ3,NA,ENSG00000198815
RIMKLA,NA,ENSG00000177181
ZMYND12,NA,ENSG00000066185
PPCS,NA,ENSG00000127125
CCDC30,NA,ENSG00000186409
PPIH,NA,ENSG00000171960
ENSG00000285728,NA,ENSG00000285728
YBX1,NA,ENSG00000065978
P3H1,NA,ENSG00000117385
C1orf50,NA,ENSG00000164008
SVBP,NA,ENSG00000177868
ERMAP,NA,ENSG00000164010
ZNF691,NA,ENSG00000164011
SLC2A1,NA,ENSG00000117394
SLC2A1-DT,NA,ENSG00000227533
EBNA1BP2,NA,ENSG00000117395
CFAP57,NA,ENSG00000243710
TIE1,NA,ENSG00000066056
CDC20-DT,NA,ENSG00000234694
ELOVL1,NA,ENSG00000066322
ENSG00000288772,NA,ENSG00000288772
MED8,NA,ENSG00000159479
SZT2,NA,ENSG00000198198
HYI,NA,ENSG00000178922
PTPRF,NA,ENSG00000142949
KDM4A,NA,ENSG00000066135
ST3GAL3,NA,ENSG00000126091
LINC02918,NA,ENSG00000237950
ENSG00000288573,NA,ENSG00000288573
IPO13,NA,ENSG00000117408
DPH2,NA,ENSG00000132768
ATP6V0B,NA,ENSG00000117410
B4GALT2,NA,ENSG00000117411
CCDC24,NA,ENSG00000159214
SLC6A9,NA,ENSG00000196517
ENSG00000230615,NA,ENSG00000230615
KLF17,NA,ENSG00000171872
DMAP1,NA,ENSG00000178028
ERI3,NA,ENSG00000117419
RNF220,NA,ENSG00000187147
TMEM53,NA,ENSG00000126106
ARMH1,NA,ENSG00000198520
KIF2C,NA,ENSG00000142945
ENSG00000225721,NA,ENSG00000225721
RPS8,RPS8,ENSG00000142937
BEST4,NA,ENSG00000142959
PLK3,NA,ENSG00000173846
BTBD19,NA,ENSG00000222009
PTCH2,NA,ENSG00000117425
EIF2B3,NA,ENSG00000070785
HECTD3,NA,ENSG00000126107
UROD,NA,ENSG00000126088
ZSWIM5,NA,ENSG00000162415
MUTYH,NA,ENSG00000132781
TOE1,NA,ENSG00000132773
TESK2,NA,ENSG00000070759
MMACHC,NA,ENSG00000132763
PRDX1,NA,ENSG00000117450
AKR1A1,NA,ENSG00000117448
NASP,NA,ENSG00000132780
GPBP1L1,NA,ENSG00000159592
TMEM69,NA,ENSG00000159596
IPP,NA,ENSG00000197429
ENSG00000230896,NA,ENSG00000230896
MAST2,NA,ENSG00000086015
PIK3R3,PIK3R3,ENSG00000117461
POMGNT1,NA,ENSG00000085998
LURAP1,NA,ENSG00000171357
RAD54L,NA,ENSG00000085999
LRRC41,NA,ENSG00000132128
UQCRH,NA,ENSG00000173660
NSUN4,NA,ENSG00000117481
FAAH,NA,ENSG00000117480
ENSG00000291138,NA,ENSG00000291138
TMEM275,NA,ENSG00000282881
MKNK1-AS1,NA,ENSG00000269956
MKNK1,NA,ENSG00000079277
MOB3C,NA,ENSG00000142961
ATPAF1,NA,ENSG00000123472
EFCAB14,NA,ENSG00000159658
CYP4Z2P,NA,ENSG00000290456
CYP4X1,NA,ENSG00000186377
CYP4Z1,NA,ENSG00000186160
CYP4A22-AS1,NA,ENSG00000225506
TAL1,NA,ENSG00000162367
ENSG00000226252,NA,ENSG00000226252
STIL,NA,ENSG00000123473
CMPK1,NA,ENSG00000162368
TRABD2B,NA,ENSG00000269113
ENSG00000290466,NA,ENSG00000290466
ENSG00000272491,NA,ENSG00000272491
SPATA6,NA,ENSG00000132122
AGBL4,AGBL4,ENSG00000186094
BEND5,NA,ENSG00000162373
ENSG00000229846,NA,ENSG00000229846
ELAVL4,NA,ENSG00000162374
FAF1,NA,ENSG00000185104
C1orf185,NA,ENSG00000204006
LINC01562,NA,ENSG00000203356
RNF11,NA,ENSG00000123091
TTC39A,NA,ENSG00000085831
EPS15,NA,ENSG00000085832
OSBPL9,NA,ENSG00000117859
NRDC,NA,ENSG00000078618
RAB3B,NA,ENSG00000169213
TXNDC12,NA,ENSG00000117862
BTF3L4,NA,ENSG00000134717
ZFYVE9,NA,ENSG00000157077
CC2D1B,NA,ENSG00000154222
ORC1,NA,ENSG00000085840
PRPF38A,NA,ENSG00000134748
TUT4,NA,ENSG00000134744
GPX7,NA,ENSG00000116157
SHISAL2A,NA,ENSG00000182183
COA7,NA,ENSG00000162377
ZYG11B,NA,ENSG00000162378
ZYG11A,NA,ENSG00000203995
ECHDC2,NA,ENSG00000121310
SCP2,NA,ENSG00000116171
PODN,NA,ENSG00000174348
CPT2,NA,ENSG00000157184
ENSG00000236723,NA,ENSG00000236723
CZIB,NA,ENSG00000162384
MAGOH,NA,ENSG00000162385
LRP8,NA,ENSG00000157193
LRP8-DT,NA,ENSG00000225675
GLIS1,NA,ENSG00000174332
NDC1,NA,ENSG00000058804
YIPF1,NA,ENSG00000058799
IFT25,NA,ENSG00000081870
LRRC42,NA,ENSG00000116212
TMEM59,NA,ENSG00000116209
TCEANC2,NA,ENSG00000116205
CYB5RL,NA,ENSG00000215883
MRPL37,NA,ENSG00000116221
SSBP3,NA,ENSG00000157216
ACOT11,NA,ENSG00000162390
MROH7,NA,ENSG00000184313
TTC4,NA,ENSG00000243725
DHCR24,NA,ENSG00000116133
ENSG00000242396,NA,ENSG00000242396
USP24,NA,ENSG00000162402
MIR4422HG,NA,ENSG00000231090
ENSG00000234810,NA,ENSG00000234810
ENSG00000260971,NA,ENSG00000260971
PLPP3,NA,ENSG00000162407
PRKAA2,NA,ENSG00000162409
FYB2,FYB2,ENSG00000187889
DAB1,DAB1,ENSG00000173406
ENSG00000290536,NA,ENSG00000290536
OMA1,NA,ENSG00000162600
MYSM1,NA,ENSG00000162601
ENSG00000283445,NA,ENSG00000283445
JUN,NA,ENSG00000177606
LINC01135,NA,ENSG00000234807
LINC01358,NA,ENSG00000237352
FGGY,NA,ENSG00000172456
HOOK1,NA,ENSG00000134709
CYP2J2,NA,ENSG00000134716
LINC01748,NA,ENSG00000226476
ENSG00000231252,NA,ENSG00000231252
NFIA,NA,ENSG00000162599
NFIA-AS2,NA,ENSG00000237928
TM2D1,NA,ENSG00000162604
PATJ-DT,NA,ENSG00000271200
PATJ,NA,ENSG00000132849
L1TD1,NA,ENSG00000240563
KANK4,NA,ENSG00000132854
USP1,NA,ENSG00000162607
DOCK7,NA,ENSG00000116641
DOCK7-DT,NA,ENSG00000235545
ATG4C,NA,ENSG00000125703
LINC01739,NA,ENSG00000229537
LINC00466,NA,ENSG00000224209
ALG6,NA,ENSG00000088035
ITGB3BP,NA,ENSG00000142856
EFCAB7,NA,ENSG00000203965
DLEU2L,NA,ENSG00000116652
PGM1,NA,ENSG00000079739
ROR1,NA,ENSG00000185483
ROR1-AS1,NA,ENSG00000223949
CACHD1,NA,ENSG00000158966
RAVER2,NA,ENSG00000162437
JAK1,NA,ENSG00000162434
LINC01359,NA,ENSG00000226891
AK4,NA,ENSG00000162433
DNAJC6,NA,ENSG00000116675
ENSG00000229294,NA,ENSG00000229294
LEPROT,NA,ENSG00000213625
LEPR,LEPR,ENSG00000116678
PDE4B,PDE4B,ENSG00000184588
SGIP1,NA,ENSG00000118473
DYNLT5,NA,ENSG00000152760
DNAI4,NA,ENSG00000152763
MIER1,NA,ENSG00000198160
SLC35D1,NA,ENSG00000116704
C1orf141,NA,ENSG00000203963
IL12RB2,NA,ENSG00000081985
SERBP1,NA,ENSG00000142864
GADD45A,NA,ENSG00000116717
GNG12,NA,ENSG00000172380
GNG12-AS1,NA,ENSG00000232284
DIRAS3,NA,ENSG00000162595
WLS,NA,ENSG00000116729
DEPDC1,NA,ENSG00000024526
ENSG00000285407,NA,ENSG00000285407
LRRC7,LRRC7,ENSG00000033122
LRRC40,NA,ENSG00000066557
SRSF11,NA,ENSG00000116754
ANKRD13C,NA,ENSG00000118454
HHLA3,NA,ENSG00000197568
CTH,NA,ENSG00000116761
ZRANB2,NA,ENSG00000132485
ZRANB2-DT,NA,ENSG00000229956
NEGR1,NA,ENSG00000172260
ENSG00000286863,NA,ENSG00000286863
ENSG00000225087,NA,ENSG00000225087
LRRIQ3,NA,ENSG00000162620
FPGT,NA,ENSG00000254685
TNNI3K,NA,ENSG00000116783
ERICH3,ERICH3,ENSG00000178965
CRYZ,NA,ENSG00000116791
TYW3,NA,ENSG00000162623
SLC44A5,SLC44A5,ENSG00000137968
ACADM,NA,ENSG00000117054
RABGGTB,NA,ENSG00000137955
MSH4,NA,ENSG00000057468
ENSG00000225605,NA,ENSG00000225605
ST6GALNAC3,NA,ENSG00000184005
ST6GALNAC5,ST6GALNAC5,ENSG00000117069
ENSG00000288543,NA,ENSG00000288543
PIGK,NA,ENSG00000142892
AK5,NA,ENSG00000154027
ZZZ3,NA,ENSG00000036549
USP33,NA,ENSG00000077254
MIGA1,NA,ENSG00000180488
NEXN,NA,ENSG00000162614
FUBP1,NA,ENSG00000162613
